gmDate,Year,gameid,awayid,awayAbbr,awayDayOff,awayDist,awayOL,homeid,homeAbbr,homeDayOff,homeOL,homeDist,possessions,matchWinner
10/31/2000,2001,20000003,1610612764,WAS,10,,188.0377995,1610612753,ORL,10,148.8463747,,205,ORL
10/31/2000,2001,20000011,1610612756,PHX,10,,149.1979059,1610612744,GSW,10,138.8226128,,214,GSW
10/31/2000,2001,20000010,1610612746,LAC,10,,122.3988639,1610612762,UTA,10,129.6630393,,205,UTA
10/31/2000,2001,20000009,1610612754,IND,10,,116.1947925,1610612759,SAS,10,119.5989262,,191,SAS
10/31/2000,2001,20000008,1610612750,MIN,10,,133.4962954,1610612745,HOU,10,126.9390197,,203,MIN
10/31/2000,2001,20000006,1610612758,SAC,10,,134.4835503,1610612741,CHI,10,129.3709567,,194,SAC
10/31/2000,2001,20000005,1610612765,DET,10,,140.8973461,1610612761,TOR,10,175.2244743,,210,DET
10/31/2000,2001,20000001,1610612755,PHI,10,,161.0441608,1610612752,NYK,10,130.7062713,,177,PHI
10/31/2000,2001,20000007,1610612749,MIL,10,,140.8040781,1610612742,DAL,10,146.3802649,,201,DAL
10/31/2000,2001,20000002,1610612739,CLE,10,,128.2327784,1610612751,NJN,10,129.0460082,,204,CLE
10/31/2000,2001,20000004,1610612766,CHH,10,,125.5839209,1610612737,ATL,10,157.7523844,,184,CHH
10/31/2000,2001,20000012,1610612747,LAL,10,,137.4400228,1610612757,POR,10,123.7056872,,183,LAL
10/31/2000,2001,20000013,1610612760,SEA,10,,200.9049426,1610612763,VAN,10,144.2452058,,201,VAN
11/1/2000,2001,20000018,1610612758,SAC,0,494.553984,158.991652,1610612739,CLE,0,154.9698684,655.6749373,221,CLE
11/1/2000,2001,20000015,1610612761,TOR,0,539.8080258,182.2812115,1610612755,PHI,0,157.2307499,129.6127715,194,PHI
11/1/2000,2001,20000017,1610612764,WAS,0,745.4768672,187.3595459,1610612766,CHH,0,128.432797,364.0687198,193,WAS
11/1/2000,2001,20000016,1610612753,ORL,0,330.3339195,127.3427827,1610612748,MIA,10,116.6279368,,210,MIA
11/1/2000,2001,20000020,1610612743,DEN,10,,140.3754416,1610612760,SEA,0,178.3193016,678.3578611,213,SEA
