Player,draft,age,birthyear,firstseason
Alaa Abdelnaby,25,22,1968,1991
Zaid Abdul-Aziz,5,22,1946,1969
Kareem Abdul-Jabbar,1,22,1947,1970
Mahmoud Abdul-Rauf,3,21,1969,1991
Tariq Abdul-Wahad,11,23,1974,1998
Shareef Abdur-Rahim,3,20,1976,1997
Tom Abernethy,43,22,1954,1977
Forest Able,61,24,1932,1957
John Abramovic,61,27,1919,1947
Alex Abrines,32,23,1993,2017
Alex Acker,60,22,1983,2006
Donald Ackerman,61,23,1930,1954
Mark Acres,40,25,1962,1988
Charles Acton,61,25,1942,1968
Quincy Acy,37,22,1990,2013
Alvan Adams,4,21,1954,1976
Don Adams,120,23,1947,1971
Hassan Adams,54,22,1984,2007
Jaylen Adams,61,22,1996,2019
Jordan Adams,22,20,1994,2015
Michael Adams,66,22,1963,1986
Steven Adams,12,20,1993,2014
Rafael Addison,39,22,1964,1987
Bam Adebayo,14,20,1997,2018
Deng Adel,61,21,1997,2019
Rick Adelman,79,22,1946,1969
Jeff Adrien,61,24,1986,2011
Arron Afflalo,27,22,1985,2008
Maurice Ager,28,22,1984,2007
Mark Aguirre,1,22,1959,1982
Blake Ahearn,61,23,1984,2008
Danny Ainge,31,22,1959,1982
Alexis Ajinca,20,20,1988,2009
Henry Akin,11,22,1944,1967
Josh Akognon,61,26,1986,2013
DeVaughn Akoon-Purcell,61,25,1993,2019
Solomon Alabi,50,22,1988,2011
Mark Alarie,18,23,1963,1987
Gary Alcorn,16,23,1936,1960
Furkan Aldemir,53,23,1991,2015
Cole Aldrich,11,22,1988,2011
LaMarcus Aldridge,2,21,1985,2007
Chuck Aleksinas,76,25,1959,1985
Cliff Alexander,61,20,1995,2016
Cory Alexander,29,22,1973,1996
Courtney Alexander,13,23,1977,2001
Gary Alexander,61,24,1969,1994
Joe Alexander,8,22,1986,2009
Kyle Alexander,61,23,1996,2020
Victor Alexander,17,22,1969,1992
Nickeil Alexander-Walker,17,21,1998,2020
Steve Alford,26,23,1964,1988
Rawle Alkins,61,21,1997,2019
Bob Allen,71,22,1946,1969
Grayson Allen,21,23,1995,2019
Jarrett Allen,22,19,1998,2018
Jerome Allen,49,22,1973,1996
Kadeem Allen,53,24,1993,2018
Lavoy Allen,50,22,1989,2012
Lucius Allen,3,22,1947,1970
Malik Allen,61,23,1978,2002
Randy Allen,61,23,1965,1989
Ray Allen,5,21,1975,1997
Tony Allen,25,22,1982,2005
Odis Allison,76,22,1949,1972
Lance Allred,61,26,1981,2008
Darrell Allums,103,22,1958,1981
Morris Almond,25,22,1985,2008
Derrick Alston,33,22,1972,1995
Rafer Alston,39,23,1976,2000
Peter Aluma,61,25,1973,1999
John Amaechi,61,25,1970,1996
Ashraf Amaya,61,24,1971,1996
Al-Farouq Aminu,8,20,1990,2011
Lou Amundson,61,24,1982,2007
Bob Anderegg,20,22,1937,1960
Chris Andersen,61,23,1978,2002
David Andersen,36,29,1980,2010
Alan Anderson,61,23,1982,2006
Antonio Anderson,61,24,1985,2010
Cliff Anderson,35,23,1944,1968
Daniel Anderson,92,23,1951,1975
Derek Anderson,13,23,1974,1998
Dwight Anderson,41,22,1960,1983
Eric Anderson,61,22,1970,1993
Greg Anderson,23,23,1964,1988
James Anderson,20,21,1989,2011
Jerome Anderson,53,22,1953,1976
Justin Anderson,21,22,1993,2016
Kenny Anderson,2,21,1970,1992
Kim Anderson,146,23,1955,1979
Kyle Anderson,30,21,1993,2015
Michael Anderson,73,22,1966,1989
Mitchell Anderson,36,22,1960,1983
Nick Anderson,11,21,1968,1990
Richard Anderson,32,22,1960,1983
Ron Anderson,27,26,1958,1985
Ryan Anderson,21,20,1988,2009
Shandon Anderson,54,23,1973,1997
Willie Anderson,10,21,1967,1989
Wally Anderzunas,25,23,1946,1970
Martynas Andriuskevicius,44,19,1986,2006
Don Anielak,26,24,1930,1955
Ike Anigbogu,47,19,1998,2018
Michael Ansley,37,22,1967,1990
Chris Anstey,18,22,1975,1998
Giannis Antetokounmpo,15,19,1994,2014
Kostas Antetokounmpo,60,21,1997,2019
Thanasis Antetokounmpo,51,23,1992,2016
Carmelo Anthony,3,19,1984,2004
Greg Anthony,12,24,1967,1992
Joel Anthony,61,25,1982,2008
Pero Antic,61,31,1982,2014
OG Anunoby,23,20,1997,2018
Keith Appling,61,23,1992,2016
Rafael Araujo,8,24,1980,2005
Stacey Arceneaux,61,25,1936,1962
Nate Archibald,19,22,1948,1971
Robert Archibald,31,22,1980,2003
Ryan Arcidiacono,61,23,1994,2018
Jim Ard,6,26,1948,1975
Gilbert Arenas,30,19,1982,2002
Trevor Ariza,43,19,1985,2005
Paul Arizin,61,22,1928,1951
Joe Arlauckas,74,22,1965,1988
B.J. Armstrong,18,22,1967,1990
Bob Armstrong,61,23,1933,1957
Brandon Armstrong,23,21,1980,2002
Darrell Armstrong,61,26,1968,1995
Hilton Armstrong,12,22,1984,2007
Paul Armstrong,61,30,1918,1949
Tate Armstrong,13,22,1955,1978
Jesse Arnelle,13,22,1933,1956
Jay Arnette,9,25,1938,1964
Bob Arnzen,103,23,1947,1971
Carlos Arroyo,61,22,1979,2002
Darrell Arthur,27,20,1988,2009
John Arthurs,73,22,1947,1970
Jamel Artis,61,24,1993,2018
Omer Asik,36,24,1986,2011
Vincent Askew,39,21,1966,1988
Keith Askins,61,23,1967,1991
Don Asmonga,61,25,1928,1954
Richard Atha,61,24,1931,1956
Chucky Atkins,61,25,1974,2000
Alvin Attles,39,24,1936,1961
Chet Aubuchon,61,30,1916,1947
Stacey Augmon,9,23,1968,1992
D.J. Augustin,9,21,1987,2009
James Augustine,41,22,1984,2007
Ike Austin,48,22,1969,1992
John Austin,38,22,1944,1967
Ken Austin,101,22,1961,1984
Anthony Avent,15,23,1969,1993
William Averitt,55,24,1952,1977
William Avery,14,20,1979,2000
Dennis Awtrey,46,22,1948,1971
Gustavo Ayon,61,26,1985,2012
Jeff Ayres,31,22,1987,2010
Deandre Ayton,1,20,1998,2019
Kelenna Azubuike,61,23,1983,2007
Chris Babb,61,23,1990,2014
Luke Babbitt,16,21,1989,2011
Milos Babic,50,22,1968,1991
Johnny Bach,61,24,1924,1949
Dwayne Bacon,40,22,1995,2018
Jim Baechtold,2,25,1927,1953
Dalibor Bagaric,24,20,1980,2001
John Bagley,12,22,1960,1983
Marvin Bagley III,2,19,1999,2019
Carl Bailey,66,23,1958,1982
Gus Bailey,23,23,1951,1975
James Bailey,6,22,1957,1980
Thurl Bailey,7,22,1961,1984
Toby Bailey,45,23,1975,1999
Cameron Bairstow,49,24,1990,2015
Mark Baker,61,29,1969,1999
