gmDate,season,gameid,awayid,awayAbbr,awayLoc,awayRslt,awayDayOff,homeid,homeAbbr,hometLoc,hometRslt,hometDayOff,matchWinner,homelat,homelong
10/31/2000,2000-01,20000003,1610612764,WAS,Away,Loss,1stgame,1610612753,ORL,Home,Win,1stgame,ORL,28.5383,81.3792
10/31/2000,2000-01,20000011,1610612756,PHX,Away,Loss,1stgame,1610612744,GSW,Home,Win,1stgame,GSW,37.7749,122.4194
10/31/2000,2000-01,20000010,1610612746,LAC,Away,Loss,1stgame,1610612762,UTA,Home,Win,1stgame,UTA,40.7608,111.891
10/31/2000,2000-01,20000009,1610612754,IND,Away,Loss,1stgame,1610612759,SAS,Home,Win,1stgame,SAS,29.4241,98.4936
10/31/2000,2000-01,20000008,1610612750,MIN,Away,Win,1stgame,1610612745,HOU,Home,Loss,1stgame,MIN,29.7604,95.3698
10/31/2000,2000-01,20000006,1610612758,SAC,Away,Win,1stgame,1610612741,CHI,Home,Loss,1stgame,SAC,41.8781,87.6298
10/31/2000,2000-01,20000005,1610612765,DET,Away,Win,1stgame,1610612761,TOR,Home,Loss,1stgame,DET,43.6532,79.3832
10/31/2000,2000-01,20000001,1610612755,PHI,Away,Win,1stgame,1610612752,NYK,Home,Loss,1stgame,PHI,40.7128,74.006
10/31/2000,2000-01,20000007,1610612749,MIL,Away,Loss,1stgame,1610612742,DAL,Home,Win,1stgame,DAL,32.7767,96.797
10/31/2000,2000-01,20000002,1610612739,CLE,Away,Win,1stgame,1610612751,NJN,Home,Loss,1stgame,CLE,40.6782,73.9442
10/31/2000,2000-01,20000004,1610612766,CHH,Away,Win,1stgame,1610612737,ATL,Home,Loss,1stgame,CHH,33.749,84.388
10/31/2000,2000-01,20000012,1610612747,LAL,Away,Win,1stgame,1610612757,POR,Home,Loss,1stgame,LAL,45.5051,122.675
10/31/2000,2000-01,20000013,1610612760,SEA,Away,Loss,1stgame,1610612763,VAN,Home,Win,1stgame,VAN,35.1495,90.049
11/1/2000,2000-01,20000018,1610612758,SAC,Away,Loss,0,1610612739,CLE,Home,Win,0,CLE,41.4993,81.6944
11/1/2000,2000-01,20000015,1610612761,TOR,Away,Loss,0,1610612755,PHI,Home,Win,0,PHI,39.9526,75.1652
11/1/2000,2000-01,20000017,1610612764,WAS,Away,Win,0,1610612766,CHH,Home,Loss,0,WAS,35.2271,80.8431
11/1/2000,2000-01,20000016,1610612753,ORL,Away,Loss,0,1610612748,MIA,Home,Win,1stgame,MIA,25.7617,80.1918
11/1/2000,2000-01,20000020,1610612743,DEN,Away,Loss,1stgame,1610612760,SEA,Home,Win,0,SEA,35.4676,97.5164
11/1/2000,2000-01,20000019,1610612762,UTA,Away,Win,0,1610612747,LAL,Home,Loss,0,UTA,34.0522,118.2437
11/1/2000,2000-01,20000014,1610612765,DET,Away,Loss,0,1610612738,BOS,Home,Win,1stgame,BOS,42.3601,71.0589
11/2/2000,2000-01,20000022,1610612754,IND,Away,Loss,1,1610612742,DAL,Home,Win,1,DAL,32.7767,96.797
11/2/2000,2000-01,20000026,1610612757,POR,Away,Loss,1,1610612756,PHX,Home,Win,1,PHX,33.4484,112.074
11/2/2000,2000-01,20000021,1610612737,ATL,Away,Loss,1,1610612752,NYK,Home,Win,1,NYK,40.7128,74.006
11/2/2000,2000-01,20000024,1610612750,MIN,Away,Loss,1,1610612759,SAS,Home,Win,1,SAS,29.4241,98.4936
11/2/2000,2000-01,20000027,1610612763,VAN,Away,Win,1,1610612746,LAC,Home,Loss,1,VAN,34.0522,118.2437
11/2/2000,2000-01,20000025,1610612744,GSW,Away,Loss,1,1610612743,DEN,Home,Win,0,DEN,39.7392,104.9903
11/2/2000,2000-01,20000023,1610612749,MIL,Away,Loss,1,1610612745,HOU,Home,Win,1,HOU,29.7604,95.3698
11/3/2000,2000-01,20000031,1610612748,MIA,Away,Loss,1,1610612766,CHH,Home,Win,1,CHH,35.2271,80.8431
11/3/2000,2000-01,20000033,1610612751,NJN,Away,Win,2,1610612741,CHI,Home,Loss,2,NJN,41.8781,87.6298
11/3/2000,2000-01,20000028,1610612761,TOR,Away,Loss,1,1610612738,BOS,Home,Win,1,BOS,42.3601,71.0589
11/3/2000,2000-01,20000029,1610612752,NYK,Away,Win,0,1610612764,WAS,Home,Loss,1,NYK,38.9072,77.0369
11/3/2000,2000-01,20000030,1610612755,PHI,Away,Win,1,1610612753,ORL,Home,Loss,1,PHI,28.5383,81.3792
11/3/2000,2000-01,20000032,1610612758,SAC,Away,Win,1,1610612765,DET,Home,Loss,1,SAC,42.3314,83.0458
11/4/2000,2000-01,20000042,1610612762,UTA,Away,Win,2,1610612742,DAL,Home,Loss,1,UTA,32.7767,96.797
11/4/2000,2000-01,20000044,1610612745,HOU,Away,Loss,1,1610612746,LAC,Home,Win,1,LAC,34.0522,118.2437
11/4/2000,2000-01,20000045,1610612759,SAS,Away,Win,1,1610612744,GSW,Home,Loss,1,SAS,37.7749,122.4194
11/4/2000,2000-01,20000047,1610612747,LAL,Away,Win,2,1610612763,VAN,Home,Loss,1,LAL,35.1495,90.049
11/4/2000,2000-01,20000039,1610612741,CHI,Away,Loss,1stgame,1610612754,IND,Home,Win,1,IND,40.2672,86.1349
11/4/2000,2000-01,20000037,1610612764,WAS,Away,Loss,0,1610612761,TOR,Home,Win,0,TOR,43.6532,79.3832
11/4/2000,2000-01,20000038,1610612738,BOS,Away,Loss,0,1610612739,CLE,Home,Win,2,CLE,41.4993,81.6944
11/4/2000,2000-01,20000035,1610612755,PHI,Away,Win,0,1610612748,MIA,Home,Loss,0,PHI,25.7617,80.1918
11/4/2000,2000-01,20000041,1610612758,SAC,Away,Loss,0,1610612750,MIN,Home,Win,1,MIN,46.7296,94.6859
11/4/2000,2000-01,20000034,1610612766,CHH,Away,Win,0,1610612751,NJN,Home,Loss,0,CHH,40.6782,73.9442
11/4/2000,2000-01,20000040,1610612765,DET,Away,Loss,0,1610612749,MIL,Home,Win,1,MIL,43.0389,87.9065
11/4/2000,2000-01,20000036,1610612753,ORL,Away,Win,0,1610612737,ATL,Home,Loss,1,ORL,33.749,84.388
11/4/2000,2000-01,20000046,1610612757,POR,Away,Win,1,1610612760,SEA,Home,Loss,2,POR,35.4676,97.5164
11/4/2000,2000-01,20000043,1610612756,PHX,Away,Win,1,1610612743,DEN,Home,Loss,1,PHX,39.7392,104.9903
11/5/2000,2000-01,20000049,1610612746,LAC,Away,Loss,0,1610612747,LAL,Home,Win,0,LAL,34.0522,118.2437
11/5/2000,2000-01,20000048,1610612745,HOU,Away,Loss,0,1610612756,PHX,Home,Win,0,PHX,33.4484,112.074
11/6/2000,2000-01,20000050,1610612760,SEA,Away,Loss,1,1610612753,ORL,Home,Win,1,ORL,28.5383,81.3792
11/6/2000,2000-01,20000054,1610612737,ATL,Away,Loss,1,1610612763,VAN,Home,Win,1,VAN,35.1495,90.049
11/6/2000,2000-01,20000051,1610612742,DAL,Away,Win,1,1610612743,DEN,Home,Loss,1,DAL,39.7392,104.9903
11/6/2000,2000-01,20000052,1610612750,MIN,Away,Loss,1,1610612762,UTA,Home,Win,1,UTA,40.7608,111.891
11/6/2000,2000-01,20000053,1610612757,POR,Away,Loss,1,1610612758,SAC,Home,Win,1,SAC,38.5816,121.4944
11/7/2000,2000-01,20000056,1610612764,WAS,Away,Win,2,1610612741,CHI,Home,Loss,2,WAS,41.8781,87.6298
11/7/2000,2000-01,20000058,1610612747,LAL,Away,Loss,1,1610612745,HOU,Home,Win,1,HOU,29.7604,95.3698
11/7/2000,2000-01,20000059,1610612759,SAS,Away,Loss,2,1610612756,PHX,Home,Win,1,PHX,33.4484,112.074
11/7/2000,2000-01,20000060,1610612737,ATL,Away,Loss,0,1610612757,POR,Home,Win,0,POR,45.5051,122.675
11/7/2000,2000-01,20000057,1610612752,NYK,Away,Win,3,1610612749,MIL,Home,Loss,2,NYK,43.0389,87.9065
11/7/2000,2000-01,20000055,1610612738,BOS,Away,Loss,2,1610612761,TOR,Home,Win,2,TOR,43.6532,79.3832
11/8/2000,2000-01,20000065,1610612760,SEA,Away,Loss,1,1610612748,MIA,Home,Win,3,MIA,25.7617,80.1918
11/8/2000,2000-01,20000061,1610612739,CLE,Away,Win,3,1610612752,NYK,Home,Loss,0,CLE,40.7128,74.006
11/8/2000,2000-01,20000064,1610612766,CHH,Away,Win,3,1610612753,ORL,Home,Loss,1,CHH,28.5383,81.3792
11/8/2000,2000-01,20000067,1610612763,VAN,Away,Win,1,1610612742,DAL,Home,Loss,1,VAN,32.7767,96.797
11/8/2000,2000-01,20000068,1610612747,LAL,Away,Loss,0,1610612759,SAS,Home,Win,0,SAS,29.4241,98.4936
11/8/2000,2000-01,20000069,1610612750,MIN,Away,Loss,1,1610612743,DEN,Home,Win,1,DEN,39.7392,104.9903
11/8/2000,2000-01,20000070,1610612762,UTA,Away,Win,1,1610612746,LAC,Home,Loss,2,UTA,34.0522,118.2437
11/8/2000,2000-01,20000062,1610612765,DET,Away,Loss,3,1610612755,PHI,Home,Win,3,PHI,39.9526,75.1652
11/8/2000,2000-01,20000066,1610612749,MIL,Away,Loss,0,1610612754,IND,Home,Win,3,IND,40.2672,86.1349
11/8/2000,2000-01,20000071,1610612744,GSW,Away,Loss,3,1610612758,SAC,Home,Win,1,SAC,38.5816,121.4944
11/8/2000,2000-01,20000063,1610612751,NJN,Away,Win,3,1610612764,WAS,Home,Loss,0,NJN,38.9072,77.0369
11/9/2000,2000-01,20000073,1610612760,SEA,Away,Win,0,1610612766,CHH,Home,Loss,0,SEA,35.2271,80.8431
11/9/2000,2000-01,20000074,1610612753,ORL,Away,Loss,0,1610612741,CHI,Home,Win,1,CHI,41.8781,87.6298
11/9/2000,2000-01,20000076,1610612763,VAN,Away,Loss,0,1610612745,HOU,Home,Win,1,HOU,29.7604,95.3698
11/9/2000,2000-01,20000077,1610612737,ATL,Away,Loss,1,1610612756,PHX,Home,Win,1,PHX,33.4484,112.074
11/9/2000,2000-01,20000078,1610612743,DEN,Away,Loss,0,1610612757,POR,Home,Win,1,POR,45.5051,122.675
11/9/2000,2000-01,20000075,1610612755,PHI,Away,Win,0,1610612750,MIN,Home,Loss,0,PHI,46.7296,94.6859
11/9/2000,2000-01,20000072,1610612765,DET,Away,Win,0,1610612751,NJN,Home,Loss,0,DET,40.6782,73.9442
11/10/2000,2000-01,20000081,1610612739,CLE,Away,Loss,1,1610612761,TOR,Home,Win,2,TOR,43.6532,79.3832
11/10/2000,2000-01,20000080,1610612754,IND,Away,Win,1,1610612764,WAS,Home,Loss,1,IND,38.9072,77.0369
11/10/2000,2000-01,20000079,1610612752,NYK,Away,Win,1,1610612738,BOS,Home,Loss,2,NYK,42.3601,71.0589
11/10/2000,2000-01,20000082,1610612759,SAS,Away,Loss,1,1610612742,DAL,Home,Win,1,DAL,32.7767,96.797
